Orig,New
Sri Lanka,Sri Lanka
Sri Lanka ,Sri Lanka
Sudan,Sudan
Sudan and Eritrea,Sudan
Sudan ,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Taiwan,Taiwan
Taiwan ,Taiwan
Tajikistan,Tajikistan
Tajikistan ,Tajikistan
Tajikstan,Tajikistan
Tanzania,Tanzania
Tanzania ,Tanzania
Tasmania,Tasmania
Texas,Texas
Thailand,Thailand
Thailand ,Thailand
The Gambia,Gambia
Thiland,Thailand
Tibet,Tibet
Timor,Timor
Tobago,Tobago
Togo,Togo
Trinidad,Trinidad
Tunisia,Tunisia
Turkey,Turkey
Turkey ,Turkey
Uganda,Uganda
Uganda ,Uganda
UK,UK
UK ,UK
Ukraine,Ukraine
Ukraine ,Ukraine
United Arab Emerates,United Arab Emirates
United Kingdom,UK
Uruguay,Uruguay
Uruguay ,Uruguay
"Uruguay,",Uruguay
USA,USA
USA ,USA
USA.,USA
USSR,USSR
USSR ,USSR
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela,Venezuela
Venezuela ,Venezuela
Venezulea,Venezuela
Viet Nam,Vietnam
Vietnam,Vietnam
Vietnam ,Vietnam
West Germany,West Germany
Western Sahara,Western Sahara
Yemen,Yemen
Yemen ,Yemen
Yemen  ,Yemen
Yugoslavia,Yugoslavia
Zambia,Zambia
Zambia ,Zambia
Zimbabwe,Zimbabwe
Zimbabwe ,Zimbabwe
Zimbawe,Zimbabwe
#N/A,#N/A
